MES,DATOS
Feb-1862,64.5
Mar-1862,43.6
Abr-1862,53.7
May-1862,64.4
Jun-1862,84
Jul-1862,73.4
Ago-1862,62.5
Sep-1862,66.6
Oct-1862,41.9
Nov-1862,50.6
Dic-1862,40.9
Ene-1863,48.3
Feb-1863,56.7
Mar-1863,66.4
Abr-1863,40.6
May-1863,53.8
Jun-1863,40.8
Jul-1863,32.7
Ago-1863,48.1
Sep-1863,22
Oct-1863,39.9
Nov-1863,37.7
Dic-1863,41.2
Ene-1864,57.7
Feb-1864,47.1
Mar-1864,66.3
Abr-1864,35.8
May-1864,40.6
Jun-1864,57.8
Jul-1864,54.7
Ago-1864,54.8
Sep-1864,28.5
Oct-1864,33.9
Nov-1864,57.6
Dic-1864,28.6
Ene-1865,48.7
Feb-1865,39.3
Mar-1865,39.5
Abr-1865,29.4
May-1865,34.5
Jun-1865,33.6
Jul-1865,26.8
Ago-1865,37.8
Sep-1865,21.6
Oct-1865,17.1
Nov-1865,24.6
Dic-1865,12.8
Ene-1866,31.6
Feb-1866,38.4
Mar-1866,24.5
Abr-1866,17.6
May-1866,12.9
Jun-1866,16.5
Jul-1866,9.3
Ago-1866,12.7
Sep-1866,7.3
Oct-1866,14.1
Nov-1866,9
Dic-1866,1.5
Ene-1867,0
Feb-1867,0.7
Mar-1867,9.2
Abr-1867,5.1
May-1867,2.9
Jun-1867,1.5
Jul-1867,5
Ago-1867,4.8
Sep-1867,9.8
Oct-1867,13.5
Nov-1867,9.6
Dic-1867,25.2
Ene-1868,15.5
Feb-1868,15.7
Mar-1868,26.5
Abr-1868,36.6
May-1868,26.7
Jun-1868,31.1
Jul-1868,29
Ago-1868,34.4
Sep-1868,47.2
Oct-1868,61.6
Nov-1868,59.1
Dic-1868,67.6
Ene-1869,60.9
Feb-1869,59.9
Mar-1869,52.7
Abr-1869,41
May-1869,103.9
Jun-1869,108.4
Jul-1869,59.2
Ago-1869,79.6
Sep-1869,80.6
Oct-1869,59.3
Nov-1869,78.1
Dic-1869,104.4
Ene-1870,77.3
Feb-1870,114.9
Mar-1870,157.5
Abr-1870,160
May-1870,176
Jun-1870,135.6
Jul-1870,132.4
Ago-1870,153.8
Sep-1870,136
Oct-1870,146.4
Nov-1870,147.5
Dic-1870,130
Ene-1871,88.3
Feb-1871,125.3
Mar-1871,143.2
Abr-1871,162.4
May-1871,145.5
Jun-1871,91.7
Jul-1871,103
Ago-1871,110.1
Sep-1871,80.3
Oct-1871,89
Nov-1871,105.4
Dic-1871,90.4
Ene-1872,79.5
Feb-1872,120.1
Mar-1872,88.4
Abr-1872,102.1
May-1872,107.6
Jun-1872,109.9
Jul-1872,105.5
Ago-1872,92.9
Sep-1872,114.6
Oct-1872,102.6
Nov-1872,112
Dic-1872,83.9
Ene-1873,86.7
Feb-1873,107
Mar-1873,98.3
Abr-1873,76.2
May-1873,47.9
Jun-1873,44.8
Jul-1873,66.9
Ago-1873,68.2
Sep-1873,47.1
Oct-1873,47.1
Nov-1873,55.4
Dic-1873,49.2
Ene-1874,60.8
Feb-1874,64.2
Mar-1874,46.4
Abr-1874,32
May-1874,44.6
Jun-1874,38.2
Jul-1874,67.8
Ago-1874,61.3
Sep-1874,28
Oct-1874,34.3
Nov-1874,28.9
Dic-1874,29.3
Ene-1875,14.6
Feb-1875,21.5
Mar-1875,33.8
Abr-1875,29.1
May-1875,11.5
Jun-1875,23.9
Jul-1875,12.5
Ago-1875,14.6
Sep-1875,2.4
Oct-1875,12.7
Nov-1875,17.7
Dic-1875,9.9
Ene-1876,14.3
Feb-1876,15
Mar-1876,30.6
Abr-1876,2.3
May-1876,5.1
Jun-1876,1.6
Jul-1876,15.2
Ago-1876,8.8
Sep-1876,9.9
Oct-1876,14.3
Nov-1876,9.9
Dic-1876,8.2
Ene-1877,24.4
Feb-1877,8.7
Mar-1877,11.9
Abr-1877,15.8
May-1877,21.6
Jun-1877,14.2
Jul-1877,6
Ago-1877,6.3
Sep-1877,16.9
Oct-1877,6.7
Nov-1877,14.2
Dic-1877,2.2
Ene-1878,3.3
Feb-1878,6.6
Mar-1878,7.8
Abr-1878,0.1
May-1878,5.9
Jun-1878,6.4
Jul-1878,0.1
Ago-1878,0
Sep-1878,5.3
Oct-1878,1.1
Nov-1878,4.1
Dic-1878,0.5
Ene-1879,1
Feb-1879,0.6
Mar-1879,0
Abr-1879,6.2
May-1879,2.4
Jun-1879,4.8
Jul-1879,7.5
Ago-1879,10.7
Sep-1879,6.1
Oct-1879,12.3
Nov-1879,13.1
Dic-1879,7.3
Ene-1880,24
Feb-1880,27.2
Mar-1880,19.3
Abr-1880,19.5
May-1880,23.5
Jun-1880,34.1
Jul-1880,21.9
Ago-1880,48.1
Sep-1880,66
Oct-1880,43
Nov-1880,30.7
Dic-1880,29.6
Ene-1881,36.4
Feb-1881,53.2
Mar-1881,51.5
Abr-1881,51.6
May-1881,43.5
Jun-1881,60.5
Jul-1881,76.9
Ago-1881,58.4
Sep-1881,53.2
Oct-1881,64.4
Nov-1881,54.8
Dic-1881,47.3
Ene-1882,45
Feb-1882,69.5
Mar-1882,66.8
Abr-1882,95.8
May-1882,64.1
Jun-1882,45.2
Jul-1882,45.4
Ago-1882,40.4
Sep-1882,57.7
Oct-1882,59.2
Nov-1882,84.4
Dic-1882,41.8
Ene-1883,60.6
Feb-1883,46.9
Mar-1883,42.8
Abr-1883,82.1
May-1883,31.5
Jun-1883,76.3
Jul-1883,80.6
Ago-1883,46
Sep-1883,52.6
Oct-1883,83.8
Nov-1883,84.5
Dic-1883,75.9
Ene-1884,91.5
Feb-1884,86.9
Mar-1884,87.5
Abr-1884,76.1
May-1884,66.5
Jun-1884,51.2
Jul-1884,53.1
Ago-1884,55.8
Sep-1884,61.9
Oct-1884,47.8
Nov-1884,36.6
Dic-1884,47.2
Ene-1885,42.8
Feb-1885,71.8
Mar-1885,49.8
Abr-1885,55
May-1885,73
Jun-1885,83.7
Jul-1885,66.5
Ago-1885,50
Sep-1885,39.6
Oct-1885,38.7
Nov-1885,30.9
Dic-1885,21.7
Ene-1886,29.9
Feb-1886,25.9
Mar-1886,57.3
Abr-1886,43.7
May-1886,30.7
Jun-1886,27.1
Jul-1886,30.3
Ago-1886,16.9
Sep-1886,21.4
Oct-1886,8.6
Nov-1886,0.3
Dic-1886,13
Ene-1887,10.3
Feb-1887,13.2
Mar-1887,4.2
Abr-1887,6.9
May-1887,20
Jun-1887,15.7
Jul-1887,23.4
Ago-1887,21.4
Sep-1887,7.4
Oct-1887,6.6
Nov-1887,6.9
Dic-1887,20.7
Ene-1888,12.7
Feb-1888,7.1
Mar-1888,7.8
Abr-1888,5.1
May-1888,7
Jun-1888,7.1
Jul-1888,3.1
Ago-1888,2.8
Sep-1888,8.8
Oct-1888,2.1
Nov-1888,10.7
Dic-1888,6.7
Ene-1889,0.8
Feb-1889,8.5
Mar-1889,6.7
Abr-1889,4.3
May-1889,2.4
Jun-1889,6.4
Jul-1889,9.4
Ago-1889,20.6
Sep-1889,6.5
Oct-1889,2.1
Nov-1889,0.2
Dic-1889,6.7
Ene-1890,5.3
Feb-1890,0.6
Mar-1890,5.1
Abr-1890,1.6
May-1890,4.8
Jun-1890,1.3
Jul-1890,11.6
Ago-1890,8.5
Sep-1890,17.2
Oct-1890,11.2
Nov-1890,9.6
Dic-1890,7.8
Ene-1891,13.5
Feb-1891,22.2
Mar-1891,10.4
Abr-1891,20.5
May-1891,41.1
Jun-1891,48.3
Jul-1891,58.8
Ago-1891,33
Sep-1891,53.8
Oct-1891,51.5
Nov-1891,41.9
Dic-1891,32.5
Ene-1892,69.1
Feb-1892,75.6
Mar-1892,49.9
Abr-1892,69.6
May-1892,79.6
Jun-1892,76.3
Jul-1892,76.5
Ago-1892,101.4
Sep-1892,62.8
Oct-1892,70.5
Nov-1892,65.4
Dic-1892,78.6
Ene-1893,75
Feb-1893,73
Mar-1893,65.7
Abr-1893,88.1
May-1893,84.7
Jun-1893,89.9
Jul-1893,88.6
Ago-1893,129.2
Sep-1893,77.9
Oct-1893,80
Nov-1893,75.1
Dic-1893,93.8
Ene-1894,83.2
Feb-1894,84.6
Mar-1894,52.3
Abr-1894,81.6
May-1894,101.2
Jun-1894,98.9
Jul-1894,106
Ago-1894,70.3
Sep-1894,65.9
Oct-1894,75.5
Nov-1894,56.6
Dic-1894,60
Ene-1895,63.3
Feb-1895,67.2
Mar-1895,61
Abr-1895,76.9
May-1895,67.5
Jun-1895,71.5
Jul-1895,47.8
Ago-1895,68.9
Sep-1895,57.7
Oct-1895,67.9
Nov-1895,47.2
Dic-1895,70.7
Ene-1896,29
Feb-1896,57.4
Mar-1896,52
Abr-1896,43.8
May-1896,27.7
Jun-1896,49
Jul-1896,45
Ago-1896,27.2
Sep-1896,61.3
Oct-1896,28.7
Nov-1896,38
Dic-1896,42.6
Ene-1897,40.6
Feb-1897,29.4
Mar-1897,29.1
Abr-1897,31
May-1897,20
Jun-1897,11.3
Jul-1897,27.6
Ago-1897,21.8
Sep-1897,48.1
Oct-1897,14.3
Nov-1897,8.4
Dic-1897,33.3
Ene-1898,30.2
Feb-1898,36.4
Mar-1898,38.3
Abr-1898,14.5
May-1898,25.8
Jun-1898,22.3
Jul-1898,9
Ago-1898,31.4
Sep-1898,34.8
Oct-1898,34.4
Nov-1898,30.9
Dic-1898,12.6
Ene-1899,19.5
Feb-1899,9.2
Mar-1899,18.1
Abr-1899,14.2
May-1899,7.7
Jun-1899,20.5
Jul-1899,13.5
Ago-1899,2.9
Sep-1899,8.4
Oct-1899,13
Nov-1899,7.8
Dic-1899,10.5
ene-00,9.4
feb-00,13.6
mar-00,8.6
abr-00,16
may-00,15.2
jun-00,12.1
jul-00,8.3
ago-00,4.3
sep-00,8.3
oct-00,12.9
nov-00,4.5
dic-00,0.3
ene-01,0.2
feb-01,2.4
mar-01,4.5
abr-01,0
may-01,10.2
jun-01,5.8
jul-01,0.7
ago-01,1
sep-01,0.6
oct-01,3.7
nov-01,3.8
dic-01,0
ene-02,5.5
feb-02,0
mar-02,12.4
abr-02,0
may-02,2.8
jun-02,1.4
jul-02,0.9
ago-02,2.3
sep-02,7.6
oct-02,16.3
nov-02,10.3
dic-02,1.1
ene-03,8.3
feb-03,17
mar-03,13.5
abr-03,26.1
may-03,14.6
jun-03,16.3
jul-03,27.9
ago-03,28.8
sep-03,11.1
oct-03,38.9
nov-03,44.5
dic-03,45.6
ene-04,31.6
feb-04,24.5
mar-04,37.2
abr-04,43
may-04,39.5
jun-04,41.9
jul-04,50.6
ago-04,58.2
sep-04,30.1
oct-04,54.2
nov-04,38
dic-04,54.6
ene-05,54.8
feb-05,85.8
mar-05,56.5
abr-05,39.3
may-05,48
jun-05,49
jul-05,73
ago-05,58.8
sep-05,55
oct-05,78.7
nov-05,107.2
dic-05,55.5
ene-06,45.5
feb-06,31.3
mar-06,64.5
abr-06,55.3
may-06,57.7
jun-06,63.2
jul-06,103.6
ago-06,47.7
sep-06,56.1
oct-06,17.8
nov-06,38.9
dic-06,64.7
ene-07,76.4
feb-07,108.2
mar-07,60.7
abr-07,52.6
may-07,42.9
jun-07,40.4
jul-07,49.7
ago-07,54.3
sep-07,85
oct-07,65.4
nov-07,61.5
dic-07,47.3
ene-08,39.2
feb-08,33.9
mar-08,28.7
abr-08,57.6
may-08,40.8
jun-08,48.1
jul-08,39.5
ago-08,90.5
sep-08,86.9
oct-08,32.3
nov-08,45.5
dic-08,39.5
ene-09,56.7
feb-09,46.6
mar-09,66.3
abr-09,32.3
may-09,36
jun-09,22.6
jul-09,35.8
ago-09,23.1
sep-09,38.8
oct-09,58.4
nov-09,55.8
dic-09,54.2
ene-10,26.4
feb-10,31.5
mar-10,21.4
abr-10,8.4
may-10,22.2
jun-10,12.3
jul-10,14.1
ago-10,11.5
sep-10,26.2
oct-10,38.3
nov-10,4.9
dic-10,5.8
ene-11,3.4
feb-11,9
mar-11,7.8
abr-11,16.5
may-11,9
jun-11,2.2
jul-11,3.5
ago-11,4
sep-11,4
oct-11,2.6
nov-11,4.2
dic-11,2.2
ene-12,0.3
feb-12,0
mar-12,4.9
abr-12,4.5
may-12,4.4
jun-12,4.1
jul-12,3
ago-12,0.3
sep-12,9.5
oct-12,4.6
nov-12,1.1
dic-12,6.4
ene-13,2.3
feb-13,2.9
mar-13,0.5
abr-13,0.9
may-13,0
jun-13,0
jul-13,1.7
ago-13,0.2
sep-13,1.2
oct-13,3.1
nov-13,0.7
dic-13,3.8
ene-14,2.8
feb-14,2.6
mar-14,3.1
abr-14,17.3
may-14,5.2
jun-14,11.4
jul-14,5.4
ago-14,7.7
sep-14,12.7
oct-14,8.2
nov-14,16.4
dic-14,22.3
ene-15,23
feb-15,42.3
mar-15,38.8
abr-15,41.3
may-15,33
jun-15,68.8
jul-15,71.6
ago-15,69.6
sep-15,49.5
oct-15,53.5
nov-15,42.5
dic-15,34.5
ene-16,45.3
feb-16,55.4
mar-16,67
abr-16,71.8
may-16,74.5
jun-16,67.7
jul-16,53.5
ago-16,35.2
sep-16,45.1
oct-16,50.7
nov-16,65.6
dic-16,53
ene-17,74.7
feb-17,71.9
mar-17,94.8
abr-17,74.7
may-17,114.1
jun-17,114.9
jul-17,119.8
ago-17,154.5
sep-17,129.4
oct-17,72.2
nov-17,96.4
dic-17,129.3
ene-18,96
feb-18,65.3
mar-18,72.2
abr-18,80.5
may-18,76.7
jun-18,59.4
jul-18,107.6
ago-18,101.7
sep-18,79.9
oct-18,85
nov-18,83.4
dic-18,59.2
ene-19,48.1
feb-19,79.5
mar-19,66.5
abr-19,51.8
may-19,88.1
jun-19,111.2
jul-19,64.7
ago-19,69
sep-19,54.7
oct-19,52.8
nov-19,42
dic-19,34.9
ene-20,51.1
feb-20,53.9
mar-20,70.2
abr-20,14.8
may-20,33.3
jun-20,38.7
jul-20,27.5
ago-20,19.2
sep-20,36.3
oct-20,49.6
nov-20,27.2
dic-20,29.9
ene-21,31.5
feb-21,28.3
mar-21,26.7
abr-21,32.4
may-21,22.2
jun-21,33.7
jul-21,41.9
ago-21,22.8
sep-21,17.8
oct-21,18.2
nov-21,17.8
dic-21,20.3
ene-22,11.8
feb-22,26.4
mar-22,54.7
abr-22,11
may-22,8
jun-22,5.8
jul-22,10.9
ago-22,6.5
sep-22,4.7
oct-22,6.2
nov-22,7.4
dic-22,17.5
ene-23,4.5
feb-23,1.5
mar-23,3.3
abr-23,6.1
may-23,3.2
jun-23,9.1
jul-23,3.5
ago-23,0.5
sep-23,13.2
oct-23,11.6
nov-23,10
dic-23,2.8
ene-24,0.5
feb-24,5.1
mar-24,1.8
abr-24,11.3
may-24,20.8
jun-24,24
jul-24,28.1
ago-24,19.3
sep-24,25.1
oct-24,25.6
nov-24,22.5
dic-24,16.5
ene-25,5.5
feb-25,23.2
mar-25,18
abr-25,31.7
may-25,42.8
jun-25,47.5
jul-25,38.5
ago-25,37.9
sep-25,60.2
oct-25,69.2
nov-25,58.6
dic-25,98.6
ene-26,71.8
feb-26,69.9
mar-26,62.5
abr-26,38.5
may-26,64.3
jun-26,73.5
jul-26,52.3
ago-26,61.6
sep-26,60.8
oct-26,71.5
nov-26,60.5
dic-26,79.4
ene-27,81.6
feb-27,93
mar-27,69.6
abr-27,93.5
may-27,79.1
jun-27,59.1
jul-27,54.9
ago-27,53.8
sep-27,68.4
oct-27,63.1
nov-27,67.2
dic-27,45.2
ene-28,83.5
feb-28,73.5
mar-28,85.5
abr-28,80.6
may-28,77
jun-28,91.4
jul-28,98
ago-28,83.8
sep-28,89.7
oct-28,61.4
nov-28,50.3
dic-28,59
ene-29,68.9
feb-29,62.8
mar-29,50.2
abr-29,52.8
may-29,58.2
jun-29,71.9
jul-29,70.2
ago-29,65.8
sep-29,34.4
oct-29,54
nov-29,81.1
dic-29,108
ene-30,65.3
feb-30,49.9
mar-30,35
abr-30,38.2
may-30,36.8
jun-30,28.8
jul-30,21.9
ago-30,24.9
sep-30,32.1
oct-30,34.4
nov-30,35.6
dic-30,25.8
ene-31,14.6
feb-31,43.1
mar-31,30
abr-31,31.2
may-31,24.6
jun-31,15.3
jul-31,17.4
ago-31,13
sep-31,19
oct-31,10
nov-31,18.7
dic-31,17.8
ene-32,12.1
feb-32,10.6
mar-32,11.2
abr-32,11.2
may-32,17.9
jun-32,22.2
jul-32,9.6
ago-32,6.8
sep-32,4
oct-32,8.9
nov-32,8.2
dic-32,11
ene-33,12.3
feb-33,22.2
mar-33,10.1
abr-33,2.9
may-33,3.2
jun-33,5.2
jul-33,2.8
ago-33,0.2
sep-33,5.1
oct-33,3
nov-33,0.6
dic-33,0.3
ene-34,3.4
feb-34,7.8
mar-34,4.3
abr-34,11.3
may-34,19.7
jun-34,6.7
jul-34,9.3
ago-34,8.3
sep-34,4
oct-34,5.7
nov-34,8.7
dic-34,15.4
ene-35,18.6
feb-35,20.5
mar-35,23.1
abr-35,12.2
may-35,27.3
jun-35,45.7
jul-35,33.9
ago-35,30.1
sep-35,42.1
oct-35,53.2
nov-35,64.2
dic-35,61.5
ene-36,62.8
feb-36,74.3
mar-36,77.1
abr-36,74.9
may-36,54.6
jun-36,70
jul-36,52.3
ago-36,87
sep-36,76
oct-36,89
nov-36,115.4
dic-36,123.4
ene-37,132.5
feb-37,128.5
mar-37,83.9
abr-37,109.3
may-37,116.7
jun-37,130.3
jul-37,145.1
ago-37,137.7
sep-37,100.7
oct-37,124.9
nov-37,74.4
dic-37,88.8
ene-38,98.4
feb-38,119.2
mar-38,86.5
abr-38,101
may-38,127.4
jun-38,97.5
jul-38,165.3
ago-38,115.7
sep-38,89.6
oct-38,99.1
nov-38,122.2
dic-38,92.7
ene-39,80.3
feb-39,77.4
mar-39,64.6
abr-39,109.1
may-39,118.3
jun-39,101
jul-39,97.6
ago-39,105.8
sep-39,112.6
oct-39,88.1
nov-39,68.1
dic-39,42.1
ene-40,50.5
feb-40,59.4
mar-40,83.3
abr-40,60.7
may-40,54.4
jun-40,83.9
jul-40,67.5
ago-40,105.5
sep-40,66.5
oct-40,55
nov-40,58.4
dic-40,68.3
ene-41,45.6
feb-41,44.5
mar-41,46.4
abr-41,32.8
may-41,29.5
jun-41,59.8
jul-41,66.9
ago-41,60
sep-41,65.9
oct-41,46.3
nov-41,38.4
dic-41,33.7
ene-42,35.6
feb-42,52.8
mar-42,54.2
abr-42,60.7
may-42,25
jun-42,11.4
jul-42,17.7
ago-42,20.2
sep-42,17.2
oct-42,19.2
nov-42,30.7
dic-42,22.5
ene-43,12.5
feb-43,28.9
mar-43,27.4
abr-43,26.1
may-43,14.1
jun-43,7.6
jul-43,13.2
ago-43,19.4
sep-43,10
oct-43,7.8
nov-43,10.2
dic-43,18.8
ene-44,3.7
feb-44,0.5
mar-44,11
abr-44,0.3
may-44,2.5
jun-44,5
jul-44,5
ago-44,16.7
sep-44,14.3
oct-44,16.9
nov-44,10.8
dic-44,28.4
ene-45,18.5
feb-45,12.7
mar-45,21.5
abr-45,32
may-45,30.6
jun-45,36.2
jul-45,42.6
ago-45,25.9
sep-45,34.9
oct-45,68.8
nov-45,46
dic-45,27.4
ene-46,47.6
feb-46,86.2
mar-46,76.6
abr-46,75.7
may-46,84.9
jun-46,73.5
jul-46,116.2
ago-46,107.2
sep-46,94.4
oct-46,102.3
nov-46,123.8
dic-46,121.7
ene-47,115.7
feb-47,133.4
mar-47,129.8
abr-47,149.8
may-47,201.3
jun-47,163.9
jul-47,157.9
ago-47,188.8
sep-47,169.4
oct-47,163.6
nov-47,128
dic-47,116.5
ene-48,108.5
feb-48,86.1
mar-48,94.8
abr-48,189.7
may-48,174
jun-48,167.8
jul-48,142.2
ago-48,157.9
sep-48,143.3
oct-48,136.3
nov-48,95.8
dic-48,138
ene-49,119.1
feb-49,182.3
mar-49,157.5
abr-49,147
may-49,106.2
jun-49,121.7
jul-49,125.8
ago-49,123.8
sep-49,145.3
oct-49,131.6
nov-49,143.5
dic-49,117.6
ene-50,101.6
feb-50,94.8
mar-50,109.7
abr-50,113.4
may-50,106.2
jun-50,83.6
jul-50,91
ago-50,85.2
sep-50,51.3
oct-50,61.4
nov-50,54.8
dic-50,54.1
ene-51,59.9
feb-51,59.9
mar-51,55.9
abr-51,92.9
may-51,108.5
jun-51,100.6
jul-51,61.5
ago-51,61
sep-51,83.1
oct-51,51.6
nov-51,52.4
dic-51,45.8
ene-52,40.7
feb-52,22.7
mar-52,22
abr-52,29.1
may-52,23.4
jun-52,36.4
jul-52,39.3
ago-52,54.9
sep-52,28.2
oct-52,23.8
nov-52,22.1
dic-52,34.3
ene-53,26.5
feb-53,3.9
mar-53,10
abr-53,27.8
may-53,12.5
jun-53,21.8
jul-53,8.6
ago-53,23.5
sep-53,19.3
oct-53,8.2
nov-53,1.6
dic-53,2.5
ene-54,0.2
feb-54,0.5
mar-54,10.9
abr-54,1.8
may-54,0.8
jun-54,0.2
jul-54,4.8
ago-54,8.4
sep-54,1.5
oct-54,7
nov-54,9.2
dic-54,7.6
ene-55,23.1
feb-55,20.8
mar-55,4.9
abr-55,11.3
may-55,28.9
jun-55,31.7
jul-55,26.7
ago-55,40.7
sep-55,42.7
oct-55,58.5
nov-55,89.2
dic-55,76.9
ene-56,73.6
feb-56,124
mar-56,118.4
abr-56,110.7
may-56,136.6
jun-56,116.6
jul-56,129.1
ago-56,169.6
sep-56,173.2
oct-56,155.3
nov-56,201.3
dic-56,192.1
ene-57,165
feb-57,130.3
mar-57,157.4
abr-57,175.2
may-57,164.6
jun-57,200.7
jul-57,187.2
ago-57,158
sep-57,235.8
oct-57,253.8
nov-57,210.9
dic-57,239.4
ene-58,202.5
feb-58,164.9
mar-58,190.7
abr-58,196
may-58,175.3
jun-58,171.5
jul-58,191.4
ago-58,200.2
sep-58,201.2
oct-58,181.5
nov-58,152.3
dic-58,187.6
ene-59,217.4
feb-59,143.1
mar-59,185.7
abr-59,163.3
may-59,172
jun-59,168.7
jul-59,149.6
ago-59,199.6
sep-59,145.2
oct-59,111.4
nov-59,124
dic-59,125
ene-60,146.3
feb-60,106
mar-60,102.2
abr-60,122
may-60,119.6
jun-60,110.2
jul-60,121.7
ago-60,134.1
sep-60,127.2
oct-60,82.8
nov-60,89.6
dic-60,85.6
ene-61,57.9
feb-61,46.1
mar-61,53
abr-61,61.4
may-61,51
jun-61,77.4
jul-61,70.2
ago-61,55.8
sep-61,63.6
oct-61,37.7
nov-61,32.6
dic-61,39.9
ene-62,38.7
feb-62,50.3
mar-62,45.6
abr-62,46.4
may-62,43.7
jun-62,42
jul-62,21.8
ago-62,21.8
sep-62,51.3
oct-62,39.5
nov-62,26.9
dic-62,23.2
ene-63,19.8
feb-63,24.4
mar-63,17.1
abr-63,29.3
may-63,43
jun-63,35.9
jul-63,19.6
ago-63,33.2
sep-63,38.8
oct-63,35.3
nov-63,23.4
dic-63,14.9
ene-64,15.3
feb-64,17.7
mar-64,16.5
abr-64,8.6
may-64,9.5
jun-64,9.1
jul-64,3.1
ago-64,9.3
sep-64,4.7
oct-64,6.1
nov-64,7.4
dic-64,15.1
ene-65,17.5
feb-65,14.3
mar-65,11.7
abr-65,6.8
may-65,24.1
jun-65,15.9
jul-65,11.9
ago-65,8.9
sep-65,16.8
oct-65,20.1
nov-65,15.8
dic-65,17
ene-66,28.2
feb-66,24.4
mar-66,25.3
abr-66,48.7
may-66,45.3
jun-66,47.7
jul-66,56.7
ago-66,51.2
sep-66,50.2
oct-66,57.2
nov-66,57.2
dic-66,70.4
ene-67,110.9
feb-67,93.6
mar-67,111.8
abr-67,69.5
may-67,86.5
jun-67,67.3
jul-67,91.5
ago-67,107.2
sep-67,76.8
oct-67,88.2
nov-67,94.3
dic-67,126.4
ene-68,121.8
feb-68,111.9
mar-68,92.2
abr-68,81.2
may-68,127.2
jun-68,110.3
jul-68,96.1
ago-68,109.3
sep-68,117.2
oct-68,107.7
nov-68,86
dic-68,109.8
ene-69,104.4
feb-69,120.5
mar-69,135.8
abr-69,106.8
may-69,120
jun-69,106
jul-69,96.8
ago-69,98
sep-69,91.3
oct-69,95.7
nov-69,93.5
dic-69,97.9
ene-70,111.5
feb-70,127.8
mar-70,102.9
abr-70,109.5
may-70,127.5
jun-70,106.8
jul-70,112.5
ago-70,93
sep-70,99.5
oct-70,86.6
nov-70,95.2
dic-70,83.5
ene-71,91.3
feb-71,79
mar-71,60.7
abr-71,71.8
may-71,57.5
jun-71,49.8
jul-71,81
ago-71,61.4
sep-71,50.2
oct-71,51.7
nov-71,63.2
dic-71,82.2
ene-72,61.5
feb-72,88.4
mar-72,80.1
abr-72,63.2
may-72,80.5
jun-72,88
jul-72,76.5
ago-72,76.8
sep-72,64
oct-72,61.3
nov-72,41.6
dic-72,45.3
ene-73,43.4
feb-73,42.9
mar-73,46
abr-73,57.7
may-73,42.4
jun-73,39.5
jul-73,23.1
ago-73,25.6
sep-73,59.3
oct-73,30.7
nov-73,23.9
dic-73,23.3
ene-74,27.6
feb-74,26
mar-74,21.3
abr-74,40.3
may-74,39.5
jun-74,36
jul-74,55.8
ago-74,33.6
sep-74,40.2
oct-74,47.1
nov-74,25
dic-74,20.5
ene-75,18.9
feb-75,11.5
mar-75,11.5
abr-75,5.1
may-75,9
jun-75,11.4
jul-75,28.2
ago-75,39.7
sep-75,13.9
oct-75,9.1
nov-75,19.4
dic-75,7.8
ene-76,8.1
feb-76,4.3
mar-76,21.9
abr-76,18.8
may-76,12.4
jun-76,12.2
jul-76,1.9
ago-76,16.4
sep-76,13.5
oct-76,20.6
nov-76,5.2
dic-76,15.3
ene-77,16.4
feb-77,23.1
mar-77,8.7
abr-77,12.9
may-77,18.6
jun-77,38.5
jul-77,21.4
ago-77,30.1
sep-77,44
oct-77,43.8
nov-77,29.1
dic-77,43.2
ene-78,51.9
feb-78,93.6
mar-78,76.5
abr-78,99.7
may-78,82.7
jun-78,95.1
jul-78,70.4
ago-78,58.1
sep-78,138.2
oct-78,125.1
nov-78,97.9
dic-78,122.7
ene-79,166.6
feb-79,137.5
mar-79,138
abr-79,101.5
may-79,134.4
jun-79,149.5
jul-79,159.4
ago-79,142.2
sep-79,188.4
oct-79,186.2
nov-79,183.3
dic-79,176.3
ene-80,159.6
feb-80,155
mar-80,126.2
abr-80,164.1
may-80,179.9
jun-80,157.3
jul-80,136.3
ago-80,135.4
sep-80,155
oct-80,164.7
nov-80,147.9
dic-80,174.4
ene-81,114
feb-81,141.3
mar-81,135.5
abr-81,156.4
may-81,127.5
jun-81,90.9
jul-81,143.8
ago-81,158.7
sep-81,167.3
oct-81,162.4
nov-81,137.5
dic-81,150.1
ene-82,111.2
feb-82,163.6
mar-82,153.8
abr-82,122
may-82,82.2
jun-82,110.4
jul-82,106.1
ago-82,107.6
sep-82,118.8
oct-82,94.7
nov-82,98.1
dic-82,127
ene-83,84.3
feb-83,51
mar-83,66.5
abr-83,80.7
may-83,99.2
jun-83,91.1
jul-83,82.2
ago-83,71.8
sep-83,50.3
oct-83,55.8
nov-83,33.4
dic-83,33.4
ene-84,57
feb-84,85.4
mar-84,83.5
abr-84,69.7
may-84,76.4
jun-84,46.1
jul-84,37.4
ago-84,25.5
sep-84,15.7
oct-84,12
nov-84,22.8
dic-84,18.7
ene-85,16.5
feb-85,15.9
mar-85,17.2
abr-85,16.2
may-85,27.5
jun-85,24.2
jul-85,30.7
ago-85,11.1
sep-85,3.9
oct-85,18.6
nov-85,16.2
dic-85,17.3
ene-86,2.5
feb-86,23.2
mar-86,15.1
abr-86,18.5
may-86,13.7
jun-86,1.1
jul-86,18.1
ago-86,7.4
sep-86,3.8
oct-86,35.4
nov-86,15.2
dic-86,6.8
ene-87,10.4
feb-87,2.4
mar-87,14.7
abr-87,39.6
may-87,33
jun-87,17.4
jul-87,33
ago-87,38.7
sep-87,33.9
