FOLIO,EMPRESA,PUESTO,DIA,MES,ANIO,HORA,MIN,ACTP,SECTOR,FUN1,FUN2,FUN3,CAR1,CAR2,CAR3,PERIODICO,INTERNET,EMP,BOLSA,RECOM,EDAD,EDAD2,GENERO,GENERO2,VIAJA,EST,PASAN,LIC,POS,HORAEST,PROM,PROM2,DOMINIO,IT,ILE,IH,FT,FLE,FH,AT,ALE,AH,OTRO,OT,OLE,OH,EXP,EXPA,CARTA,EXAMED,EXAPSI,EXATEC,PREFE,INST1,INST2,INST3,COMU,EQUI,LIDER,CREA,PPER,TRAP,COMP,DEMO,RIES,ECONO,FINAN,IEST,PROBA,IDEO,MER,MODMAT,ST,MENC,PENS,DANIO,SPER,SISD,OTR_1,OTRO1,OTR_2,OTRO2,OFF,PAQUE,PAQ1,PAQ2,LENG,LENG1,LENG2,LENG3,PROG,DISE,RED,MBD,TECEXP,CII,MT,CTO,DEFI_1,DEFI_2,DEFI_3,DEFI_4,CURTEC,CURIDEO,DIPMA,ESTPUES,OBS
37,INAI,SUBDIRECTOR,7,11,18,18,39,PROMOVER Y GARANTIZAR EL ACCESO A LA INFORMACION Y LA PROTECCION DE DATOS PERSONALES,1,BRINDAR ACOMPAÑAMIENTO A LOS SUJETOS OBLIGADOS,VERIFICAR QUE LOS SUJETOS OBLIGADOS CUMPLAN C0N LAS OBLIGACIONES DE TR, ,DERECHO,ECONOMIA,POLITICAS PUBLICAS, , , ,X,X,N, ,N, ,N, ,X,X,X,N,N, ,N, , , , , , , , , , , , , ,S,0,N,N,N,S,N, , , ,3,4,4,5,4,5,3,1,1,2,1,2,2,1,1,1,2,2,1,1,1,1, , , , ,S,S,SPSS,STATA,N, , , ,1,1,1,2,N,S,S,S, , , , ,S,N,S,S, 
38,GENERAL REINSURANCE,REGIONAL CHIEF ACTUARY,8,11,18,12,55,REASEGURO,2,SUPERVISOR TECNICO, , ,ACTUARIA,MATEMATICAS,ECONOMIA, , , , ,X,S,40,N, ,S,X,X,X,X,S,S,8,S,X,X,X, , , , , , , , , , ,N,0,N,N,N,N,N, , , ,5,5,3,5,4,5,3,2,1,2,2,3,3,2,2,3,3,3,1,1,3,2, , , , ,S,S,CORREO ELECTRONICO, ,S,VISUAL BASIC,R, ,3,1,1,3,S,S,S,N,MAYOR PROFUNDIDAD EN SEGUROS Y REASEGUROS, , , ,S,S,S,S, 
39,OHL (OBRASCON HUARTE LAIN),ATRACCION DE TALENTO LATAM,9,11,18,9,0,CONSTRUCCION Y CONCESIONARIA,2,CONTRATACIONES DE PERSONAL DE GERENCIA, , ,INGENIERIA CIVIL,DERECHO,ACTUARIA,X,X,X,X,X,N,0,N, ,S, , ,X,X,S,N,0,S,X,X,X, , , , , , , , , , ,S,5,S,S,S,S,N, , , ,4,5,5,4,5,4,2,1,3,3,3,2,2,1,1,2,2,2,2,1,1,1, ,0, ,0,S,N, , ,N, , , ,2,2,3,3,N,S,N,N,FALTA DE IDIOMA,EXPERIENCIA SIN TITULO DE LICENCIATURA, , ,S,S,S,S, 
40,CONAMAT,COORDINADOR DE RR.HH,9,11,18,17,0,"CURSOS DE ADMISION A BACHILLERATO, UNAM,IPN",2,CONTRATACIONES DE PERSONAL,PAGO DE NOMINAS,ADMINISTRACION DE PERSONAL,MATEMATICAS,FISICA,ACTUARIA, ,X, ,X,X,N, ,N, ,N,X,X,X, ,S,S,8,N, , , , , , , , , , , , , ,N,0,N,S,S,S,N, , , ,3,5,3,5,5,2,2,1,1,1,1,2,2,2,1,2,2,2,1,1,1,1, , , , ,N,N, , ,N, , , ,1,1,1,1,S,N,S,N,DISPONIBILIDAD DE HORARIO, , , ,S,N,N,N, 
41,IMSS (UNIDAD DE INVERSIONES FINANCIERAS),JEFE DE LA DIVISION DE EVALUACION YFINAN,10,11,18,12,0,INVERSIONES FINANCIERAS,1,COORDINAR LAS FUNCIONES Y ACTIVIDADES CON DESEMPEÑO FINANCIERO,MEDIDAS DE RENDIMIENTO AJUSTADO POR RIESGO, ,ACTUARIA,MATEMATICAS,MATEMATICAS APLICADAS, , ,X,X,X,S,50,N, ,N, , ,X,X,S,S,8,S, ,X,X, , , , , , , , , , ,S,2,S,S,S,S,N, , , ,5,5,4,4,4,4,3,3,3,3,3,3,3,3,1,3,3,1,3,2,2,2, ,0, ,0,S,N, , ,S,R, , ,3,2,2,1,S,N,N,N,FALTA DE IDIOMA,FALTA DE EXPERIENCIA, , ,S,N,N,S, 
42,CONAMAT,COORDINADOR ACADEMICO,8,11,18,16,30,PREPARACION DE EXAMENES,2,DISEÑAR CURSOS,DISEÑAR HORARIOS,CONTRATACION DE PROFESORES,PEDAGOGIA,PSICOLOGIA,SOCIOLOGIA,X,X, ,X,X,S,30,N, ,N,X,X,X, ,S,N, ,S, ,X, , , , , , , , , , , ,S,1,S,N,S,S,N, , , ,5,3,1,5,2,3,2,1,1,2,2,2,2,2,1,2,2,1,1,1,1,2, ,0, ,0,S,N, , ,N, , , ,1,1,1,1,N,S,S,N,POCA DISPONIBILIDAD DE TIEMPO, , , ,S,N,N,S, 
43,NESTLE,ENCARGADA DE CAPACITACION,7,11,18,13,25,PRODUCCION Y DISTRIBUCION DE ALIMENTOS,2,CAPACITACION DE PERSONAL,BRINDAR CAPACITACION,PLANIFICACION DE CAPACITACIONES,PSCIOLOGIA,ADMINISTRACIÓN,ECONOMIA, ,X, ,X,X,N, ,N, ,N,X,X,X,X,S,N, ,S,X,X,X, , , , , , , , , , ,S,2,N,N,S,S,N, , , ,5,5,3,5,4,5,3,1,2,2,2,3,3,2,2,2,3,2,1,1,1,1, , , , ,S,N, , ,S,SAS, , ,2,1,1,2,S,S,S,N,FALTA DE PROACTIVIDAD,POCA INICIATIVA, , ,S,N,N,S, 
44,NESTLE,REPORTING DEVELOPMENT,7,11,18,14,0,PRODUCCION DE ALIMENTOS,2,GENERAR REPORTES DE ASERTIVIDAD,MANEJO DE BD, ,ING INDUSTRIAL,ING MATEMATICA, , ,X,X,X,X,N, ,N, ,N,X,X,X,X,S,N, ,S, ,X,X, , , , , , , , , , ,S,1,N,N,S,S,N, , , ,5,4,4,5,5,5,3,1,1,1,1,3,2,1,2,3,3,2,1,1,1,1, , , , ,S,N, , ,S,SAS, , ,2,1,1,2,S,S,S,N,FALTA DE INTERES,FALTA DE COMUNICACION, , ,S,N,S,S, 
45,METLIFE,ACTUARY DIRECTOR,5,11,18,11,30,COORDINAR EL AREA TECNICA,2,REPORTE DE METRICAS A USA,DIRIGIR LAS 6 GERENCIAS DEL AREA TECNCICA,COORDINAR LOS PROYECTOS DEL AREA,FINANZAS,MATEMATICAS,ESTADISTICA, ,X, , , ,N,0,N, ,N,X, , , ,S,N,0,S,X,X,X, , , , , , , , , , ,N,0,N,N,N,S,N, , , ,4,5,3,4,3,3,3,1,2,1,2,2,2,1,1,2,2,2,1,1,3,1, ,0, ,0,S,S,QLICK VIEW, ,S,FOX PRO,VISUAL BASIC, ,3,1,1,2,S,S,S,N,FALTA DE PRACTICA,NO SABEN COMUNICAR RESULTADOS, , ,S,S,S,S,-
46,METLIFE,VALUATION DORECTOR,5,11,18,12,0,VALUACIÓN DE PÓLIZAS PARA LAS 4 LINEAS DE NEGOCIO,2,ASIGNAR COSTOS POR RIESGO TECNICO, , ,ESTADISTICA, , , ,X, , , ,N, ,N, ,N,X, ,X,X,S,N, ,S,X,X,X, , , , , , , , , , ,N,0,N,N,N,S,S,UNIVERSIDAD LA SALLE, , ,5,5,4,4,4,4,3,1,3,1,3,3,2,1,1,3,2,2,1,1,3,1, , , , ,S,N, , ,S,FOXPRO,R, ,3,1,1,2,S,S,S,N,CONOCIMIENTOS BASICOS DE PROGRAMACION,FALTA DE CAAPCIDAD ANALITICA, , ,S,N,N,S, 
47,METLIFE,SR TA SPECIALIST,7,11,18,13,0,RECURSOS HUMANOS,2,ATRACCION DE TALENTO,ENTREVISTAS DE TRABAJO,CANALIZACION A NUEVOS DEPARTAMENTOS,ADMINISTRACIÓN,PSICOLOGIA,PEDAGOGIA, ,X, , , ,N, ,N, ,N,X,X,X,X,S,S,8,N, , , , , , , , , , , , , ,N,0,N,S,S,N,N, , , ,5,5,5,5,5,3,3,1,3,3,3,3,3,2,1,3,3,3,3,3,3,2, , , , ,S,N, , ,N, , , ,3,1,1,3,S,S,S,S,DIFICULTAD PARA CREAR SOLUCIONES A LOS PROBLEMAS D ELA EMPRESA, , , ,S,N,N,S,PREGUNTAS MUY GEENRALES
48,CI BANCO,DIRECTORA DE RECURSOS HUMANOS,8,11,18,11,0,INSTITUCIÓN DE BANCA MÚLTIPLE,2,DIRECCIÓN DEL ÁREA DE RECURSOS HUMANOS,ENTREVISTAR A GENTE INNTERESADA EN LABORAR EN LA INSTITUCIÓN, ,CONTADURÍA,ADMINISTRACIÓN,ACTUARIA, ,X,X,X, ,N, ,N, ,N, ,X,X, , ,S,8,S, ,X, , , , , , , , , , , ,N,0,S,S,S,N,S,UNAM,ITAM, ,3,5,4,3,3,5,3,1,2,2,3,3,2,1,1,2,3,1,1,1,1,1, ,0, ,0,S,S,"WORD, EXCEL, POWER POINR", ,S,SAS,VISUAL BASIC, ,2,1,1,2,S,S,S,N,ALGUNOS TEMAS ECONÓMICOS,TEMAS DE CONTABILIDAD Y ADMINISTRACIÓN, , ,S,N,S,S, 
49,ZURICH SANTANDER,COORDINADORA DE EMPLEO,9,11,18,12,0,COMPAÑÍA DE SEGUROS,1,CONTACTAR ASPIRANTES UNIVERSITARIOS,CHECAR SOLICITUDES PARA VER SI CUMPLEN CON EL PERFIL REQUERIDO, ,ADMINISTRACIÓN,ECONOMIA,ACTUARIA, ,X, ,X,X,S,25,N, ,N,X,X,X, ,N,N, ,S, ,X, , , , , , , , , , , ,N,0,N,S,S,N,S,UNAM,ITAM,ANAHUAC,4,4,4,3,3,4,2,1,2,2,2,2,1,1,1,2,2,1,1,2,2,1, , , , ,S,S,EXCEL,POWER POINT,S,SPSS, , ,1,1,1,1,N,N,S,N,NINGUNA EN ESPECÍFICO, , , ,S,N,N,S, 
50,THB RETAIL BROKERS,RECURSOS HUMANOS,8,11,18,14,0,AGENTES DE SEGUROS Y FIANZAS,2,SELECCIÓN Y ENTREVISTA DE ASPIRANTES, , ,ACTUARIA,CONTADURÍA, , ,X, ,X, ,N, ,N, ,N,X,X,X, ,S,N, ,N, , , , , , , , , , , , , ,N,0,N,N,S,N,N, , , ,3,3,3,3,3,4,2,1,1,1,1,2,1,1,1,2,1,1,1,2,2,1, , , , ,S,S,EXCEL,WORD,N, , , ,1,1,1,1,N,N,S,N, , , , ,N,N,N,S, 
51,ACADEMIA NACIONAL DE EVALUADORES DE MEXICO,TITULAR EN DESARROLLO EN AMIS,11,11,18,5,30,DESARROLLO DE LA INDUSTRIA ASEGURADORA,1,DESARROLLO EN ESTRATEGIAS DE IMPULSO ASEGURADOR,SUSTENTO DE PROYECTOS,ANALISIS DE PROYECTOS,MATEMATICAS,DEMOGRAFIA,ESTADISTICA, , , ,X,X,N,0,N, ,S, , ,X, ,S,S,9,S,X,X,X, , , , , , , , , , ,N,0,N,N,N,N,N, , , ,4,4,4,4,4,5,3,3,3,1,1,3,1,1,1,3,1,1,1,3,3,1, ,0, ,0,S,S,SQL, ,S,BASES DE DATOS EN SQL, , ,2,1,1,3,S,N,N,N,FALTA DE CONOCIMIENTO EN MODELAJE,FALTA DE CONOCIMIENTO EN PRONOSTICO,TRANSMITIR IDEAS CONCRETAS, ,S,N,S,S,LA INFORMACION PROPORCIONADA ES CONFIDENCIAL
53,WILLIS TOWERS WATSON,ANALISTA ACTUARIAL,9,11,18,15,31,CONSULTORIA ACTUARIAL,2,VALUACION DE PASIVOS LABORALES BAJO NORMAS LOCALES E INTERNACIONALES,ELABORACION DE CALCULOS INDIVIDUALES PARA EL RETIRO,VALUACION DE PROYECCIONES DE COSTOS,MATEMTICAS,INGENIERIA FINANCIERA, , , ,X, ,X,N,0,N, ,N,X,X, , ,S,S,9,S, ,X, , , , , , , , , , , ,N,0,N,N,S,S,N, , , ,2,4,3,3,3,5,2,1,1,2,2,2,2,1,1,2,1,1,3,2,3,2, ,0, ,0,S,N, , ,N, , , ,1,1,1,1,S,S,S,N,CONOCIMIENTO EN SEGUROS DE PERSONAS Y PROBABILIDAD, , , ,S,S,N,S, 
54,"NATHAL ACTUARIOS Y CONSULTORES, S.A. DE C.V-",DIRECTOR GENERAL,12,11,18,9,0,CONSULTORIA ACTUARIAL Y EN CAPITAL HUMANO,2,CONSULTORIA EN PASIVOS LABORALES Y PENSIONES,CAPITAL HUMANO (PUESTAS Y COMPENSACION), ,ACTUARIA,ADMINISTRACIÓN, , , , , ,X,N,0,N, ,S, ,X,X,X,S,N,0,S,X, , , , , , , , , , , , ,N,0,S,N,S,S,S,UNAM, , ,5,5,5,5,5,4,3,2,2,1,2,1,1,1,1,2,2,2,3,1,2,2, ,0, ,0,S,S,R,MATHLAB,N, , , ,2,1,2,2,S,N,S,N,PROACTIVIDAD,INICIATIVA,COMUNICACION ORAL Y ESCRITA, ,S,S,S,S, 
55,COLEGIO LUIS PASTEUR SCHOOL SYSTEM,PROFESOR DE ASIGNATURA,12,11,18,11,30,DOCENCIA,2,CURSOS DE MATEMATICAS,CURSOS EN INFORMATICA,CURSOS EXTRAORDINARIO,MATEMATICAS,ACTUARIA, , , ,X,X,X,N,0,N, ,N, , ,X,X,N,S,8,S,X, , , , , , , , , , , , ,S,1,S,N,S,S,S,IPN,UNAM, ,5,3,4,3,4,2,3,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1, ,0, ,0,S,S,EXCEL, ,S,R,SQL, ,3,3,3,3,S,S,S,S,EXPRESION ORAL Y ESCRITA CON ALUMNOS, , , ,S, , ,S, 
56,ASESORES CONTABLES FISCALES,AYUDANTE DE CONTABILIDAD,12,11,18,12,30,AYUDANTE DE CONTABILIDAD,2,ASESORAR A PERSONAS EN CONTADURIA,ESTADOS DE RESULTADOS, ,ACTUARIA, , , , , , ,X,N,0,N, ,N, ,X,X, ,N, ,0,N, , , , , , , , , , , , , ,N,0,S,N,N,N,S,UNAM, , ,2,4,3,3,3,5,2,1,1,2,2,2,2,1,1,2,1,1,3,2,3,1, ,0, ,0,S,N, , ,N, , , ,1,1,1,3,N,N,N,S, ,ATENCION EN GENRAL, , ,N,N,N,S, 
57,DELOITTE,DIRECTOR EN RIESGO DE CREDITO,5,11,18,14,0,ASESORES DE NEGOCIO,1,ASESOR DE RIESGO DE CREDITO,CONSULTOR DE RIESGO, ,ACTUARIA,ECONOMIA,CONTABILIDAD, ,X,X,X, ,N,0,N, ,S,X,X,X, ,S,S,8,S,X,X,X, , , , , , , , , , ,N,0,S,S,S,S,S,POR EL CONOCIMIENTO DEL ACTUARIO EN CUANTO, AL AREA RIESGOS Y FINANZAS, ,4,4,3,3,4,5,2,1,3,3,3,2,3,2,3,2,2,2,2,2,2,1, ,0, ,0,S,N, , ,S,MYSQL DATABASE, , ,1,1,1,2,S,N,S,N,MAL MANEJO DE INFORMACIÓN,FALTA DE CONOMIENTO EN LENGUAJE REQUERIDO, , ,S,N,N,S, 
58,COMISION NACIONAL DE SEGUROS Y FIANZAS,SUBDIRECTORA AREA FONDOS DE INVERSIÓN,6,11,18,15,0,SUPERVISION DE FONDOS DE INVERSION,1,REVISAR Y SUPERVISAR LOS PROSPECTOS DE CADA ENTIDAD FINANCIERA, , ,ECONOMIA,ADMINISTRACIÓN,CONTABILIDAD,X,X, , , ,N,0,N, ,N,X,X,X, ,S, ,0,S,X,X, , , , , , , , , , , ,N,0,S,S,S,S,N, , , ,5,5,4,3,5,5,2,2,3,3,3,2,2,1,1,2,2,2,3,3,3,2, ,0, ,0,S,N, , ,N, , , ,1,1,1,1,S,S,S,N,FALTA DE CONOCIMIENTO EN LA LEY DE SEGUROS Y FIANZAS, , , ,S,S,N,N, 
59,BANCO DE MEXICO,SUBGERENTE DE MERCADO,5,11,18,15,30,MONITOREAR ANALISTAS E INSTITUCIONES,1,REVISAR QUE LAS INST. HAYAN CUMPLIDO CON SU INFORMACION DE CVT.,REPORTOS E INCUMPLIENTOS, ,ECONOMIA,ACTUARIA, , ,X,X, ,X,S,35,N, ,N,X,X,X,X,S,N, ,S,X,X,X, , , , , , , , , , ,N,0,S,N,S,S,S,SE CONTRATAN MATEMÁTICOS QUE SEPAN PROGRAMAR, , ,4,4,3,3,3,5,2,2,3,3,3,1,2,1,2,2,2,2,2,2,2,3, ,0, ,0,S,N, , ,S,JAVA,PYTHON,VBA,2,2,2,3,S,N,N,N,MAL MANEJO DE LA PALABRA,POCO CONOCIMIENTO EN MACROS DE EXCEL, , ,S,N,N,N, 
60,INSTITUTO NACIONAL DE CIENCIAS GENOMICAS,INVESTIGADOR EN CIENCIAS MEDICAS B,9,11,18,13,0,ESTUDIO DE PERFILES GENETICOS EN DIVERSAS PATOLOGIAS Y CONDICIONES,1,DESARROLLO DE MODELOS MATEMATICOS,ESTABLECER INFERENCIAS ESTADISTICAS,ESTABLECIMIENTO DE LA RELACION ENTRE RESULTADOS TEORICOS YEXPERIMENTAL,LICENCIADO EN MATEMATICAS,LICENCIADO EN CIENCIAS GENOMICAS,LLICENCIADO EN FISICA, , , ,X,X,N,0,N, ,N, , , ,X,S,N,0,S,X,X,X, , , , , , , , , , ,S,4,S,N,N,N,N, , , ,5,4,4,5,3,5,3,1,1,2,3,3,2,1,1,3,3,2,1,1,1,3, ,0, ,0,S,S,"PHYTON, R", ,S,PHYTON,R, ,2,2,2,2,N,N,N,N,NO HAY INDUCCION PARA FACILITAR EL INGRESO AL INSTITUTO, , , ,S,N,S,N, 
61,UNAM FACULTAD DE CIENCIAS,PROFESOR DE ASIGNATURA A,10,11,18,7,0,PROFESOR DE ASIGNATURA A,1,DAR CLASES,INVESTIGAR,PUBLICAR Y DAR CONFERENCIAS,FISICOS,ACTUARIA,BIOLOGOS, , , , ,X,N,0,N, ,N,X,X,X,X,S,S,8,N, , , , , , , , , , , , , ,S,0,S,S,S,S,N, , , ,4,4,4,4,4,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1, ,0, ,0,S,S,LATEX, ,N, , , ,1,1,1,1,S,S,S,N,NO LLEVAR MATERIAS EN LA FACULTAD IMPORTANTES, , , ,N,N,S,S,NINGUNA
62,INVEX,ANALISTA DE INFORMACION FINANCIERA,10,11,18,2,0,INTITUCION DE BANCA MULTIPLE Y FINANCIERA,2,OPERACION DE FIDEICOMISOS,ADMINISTRACION DE FIDEICOMISOS, ,LICENCIATURA DE ECONOMIA,LICENCIATURA DE ADMINISTRACION,LICENCIATURA DE CONTABILIDAD, ,X, ,X, ,N, ,N, ,S,X,X,X,X,N, ,0,S,X, , ,X, , , , , , , , , ,N,0,N,S,S,S,N, , , ,5,5,5,5,5,5,3,1,2,2,3,1,2,2,2,3,1,1,1,3,3,1, ,0, ,0,S,N, , ,N, , , ,1,1,1,3,S,S,S,S,PUNTUALIDAD,REDACCION Y ORTOGRAFIA,COMPROMISO, ,S,S,S,S,"SE REQUIERE A UNA PERSONA PROACTIVA Y DISPUESTA A APRENDER, QUE TRABAJE CON HONESTIDAD"
63,HSBC MÉXICO,GERENTE FINANZAS Y SEGUROS,8,11,18,10,0,INSTITUCIÓN DE BANCA MÚLTIPLE,2,BUSINESS INTELLIGENT,DATA MINER,BIG DATA,MATEMÁTICAS APLICADAS A LA COMPUTACIÓN,ACTUARIA,INGENIERÍA EN SISTEMAS, ,X,X, , ,S,55,N, ,S, ,X,X,X,N,N,0,S, , ,X,X, , , , , , , , , ,S,3,S,S,S,S,N, , , ,5,5,5,5,5,5,3,2,3,2,3,3,3,1,1,3,3,3,1,3,3,3, ,0, ,0,S,S,MICROSOFT DATA TOOLS,COGNOS BI,S,C#,JAVA,VISUAL BASIC,3,3,3,3,S,S,S,S,MANEJO DE HERRAMIENTAS TÉCNICAS,DEFICIENCIA TECNISISMOS EN IDIOMAS EXTRANJEROS,DEFICIENCIA EN MANEJO DE MODELOS DE INFORMACIÓN,DEFICIENCIA EN MANEJO DE MODELOS PREDICTIVOS,S,N,S,S, 
65,AARCO AGENTE DE SEGUROS Y FIANZAS,DIRECTORA ADJUNTA LÍNEAS PERSONALES,9,11,18,11,0,PROMOTORÍA DE SEGUROS Y FIANZAS,2,PROMOCIÓN DE SEGUROS INDIVIDUALES DE LAS PRINCIPALES ASEGURADORAS,GESTIÓN DE SEGUROS INDIVIDUALES DE LAS PRINCIPALES ASEGURADORAS,DISEÑO E IMPLEMENTACIÓN DE ESTRATEGIAS,ACTUARIA,ADMINISTRACIÓN DE EMPRESAS, , ,X, ,X, ,S,50,N, ,N, ,X,X,X,N,N, , ,X, , , , , , , , , , , , ,N,0,S,S,S,N,N, , , ,5,5,5,5,4,5,2,1,1,1,1,2,1,1,1,1,1,1,1,1,3,1, , , , ,S,N, , ,N, , , ,1,1,1,1,S,S,S,N, , , , ,S,N,N,S, 
66,COMISIÓN NACIONAL DE HIDROCARBUROS,DIRECTOR DE APROVECHAMIENTOS Y FIDEICOMISO,7,11,18,13,20,LLEVAR EL CONTROL DE LOS APROVECHAMIENTOS,1,GESTIONAR LAS ACTIVIDADES DEL FIDEICOMISO DE LA CNH, , ,CONTADURIA,ECONOMIA,INGENIEROS INDUSTRIALES, ,X, ,X,X,N,0,N, ,N, , ,X, , ,N,0, ,X,X, , , , , , , , , , , ,S,3,N,N,N,N,N, , , ,5,5,4,4,4,3,3,1,2,2,2,1,1,1,1,2,3,1,1,1,1,1, ,0, ,0,S,S,BIZAGI, ,S,VISUAL BASIC, , ,1,1,1,2,N,S,S,N,SEVEROS PROBLEMAS DE COMUNICACIÓN,PÉSIMA REDACCIÓN, , ,S,N,S,N, 
67,COMISIÓN NACIONAL DE SEGUROS Y FIANZAS,SUBDIRECTOR,6,11,18,15,25,SUPERVISIÓN TÉCNICO-ACTUARIAL DE SEGUROS,1,REVISIÓN TÉCNICA DE PRODUCTOS DE SEGUROS DE SALUD,REVISIÓN DE LAS RESERVAS DE SEGUROS DE SALUD,REVISIÓN DEL ESTADO DE PÉRDIDAS Y GANANCIAS DE PENSIONES,ACTUARIA, , , ,X, , ,X,N, ,N, ,S, ,X,X,X, ,S,8,N, , , , , , , , , , , , , ,N,0,S,N,S,N,N, , , ,4,5,4,4,4,4,2,1,1,1,2,1,2,1,1,2,1,1,3,1,2,2, , , , ,S,N, , ,N, , , ,1,1,1,1,S,S,S,S,REDACCIÓN Y ORTOGRAFÍA,CONOCIMIENTOS BÁSICOS DE ACTUARÍA,PRESENTACIÓN,TRABAJO EN EQUIPO,S,S,S,S,SE CONSIDERARON CRITERIOS QUE POR NORMA ESTIPULA LA INSTITUCIÓN Y SE TOMÓ EN CUENTA EL PUESTO MÁS BÁSICO A NIVEL PROFESIONAL DADO QUE PARA LOS SIGUIENTES MANDOS SE HACE A TRAVÉS DE LA LICITACIÓN.
68,INSTITUTO NACIONAL ELECTORAL,PROFESIONAL ESPECIALIZADO,10,11,18,9,0,DEMOCRACIA DEL PAÍS,1,AUDITORÍA DE OBRA PÚBLICA, , ,CONTADURÍA,ARQUITECTURA,INGENIERÍA EN SISTEMAS, ,X, ,X, ,N, ,N, ,S, , ,X,X, ,N, ,S, ,X, , , , , , , , , , , ,N,0,N,S,S,S,N, , , ,5,5,5,5,5,3,3,2,3,3,2,3,2,2,2,2,2,3,2,3,3,3, , , , ,S,S,AUTOCAD,BIM,S,JAVA,C, ,2,2,2,3,N,S,S,N,REDACCIÓN Y ORTOGRAFÍA, , , ,S,N,S,S, 
69,DELTA CONSULTORES ACTUARIALES SC,ANALISTA JR,7,11,18,14,0,CONSULTORIA,2,MANEJO Y ANALISIS DE BASES DE DATOS,INTRODUCCION A ACTIVIDADES ACTUARIALES, ,ACTUARIA,MATEMATICAS, , ,X, , ,X,S,25,N, ,N,X,X, , ,S,N,0,S, ,X, , , , , , , , , , , ,N,0,S,N,N,N,N, , , ,5,5,4,5,5,3,3,1,1,2,2,2,2,2,1,2,2,2,3,2,2,2, ,0, ,0,S,S,R,SQL,S,VISUAL BASIC, , ,2,1,1,2,S,N,S,N,FACILIDAD PARA COMUNICARSE EN FORMA HABLADA Y ESCRITA,LIDERAZGO,PROACTIVIDAD, ,S,N,S,S, 
70,BBVA BANCOMER,RETAIL RISK ANALYTICS ANALYST,7,11,18,10,58,DESARROLLAR MODELOS PARA LA CUESTION DE RIESGO Y CALCULO DE PARAMETROS,2,ADMINISTRACION DERECURSOS PARA EL DESARROLLO DE MODELOS,ANALISIS DE IMPACTOS POR CAMBIO DE PARAMETRIA DE RESERVA Y CAPITAL,COORDINAR EL EQUIPO DE TRABAJO DEL AREA DE METODOLOGIAS DE RIESGO,MATEMATICAS,ACTUARIA,COMPUTACION, , , ,X,X,N, ,N, ,N, , ,X,X,S,N, ,S,X,X,X, , , , , , , , , , ,N,0,N,N,S,S,N, , , ,5,5,5,5,4,5,3,1,3,2,3,3,3,2,1,3,3,2,1,1,1,1, , , , ,S,S, , ,S,R,PYTHON/PYSPARK,SAS,3,2,3,3,N,S,S,S,HABILIDADES DE COMUNICACION A NIVEL NEGOCIO, , , ,N,S,S,S, 
71,COMISION NACIONAL BANCARIA Y DE VALORES,INSPECTOR,9,11,18,16,0,REGULAR SECTOR FINANCIERO,1,ANALISIS INFORMACION,INFORMES DE AUDITORIA,SEGUIMIENTO Y CONTROL,SISTEMAS,ACTUARIA,FINANZAS, ,X, ,X, ,S,40,N, ,S, , ,X,X,S,S,8,N, , , , , , , , , , , , , ,S,3,N,S,S,S,N, , , ,4,5,4,5,4,5,3,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2, , , , ,S,S,OFFICE, ,N, , , ,2,2,2,3,S,S,S,S,INEXPERIENCIA,FALTA DE CAPACITACION, , ,S,S,S,S, 
72,VALMER,RESPONSABLE DE ADMINISTRACION DE RIESGOS,9,11,18,16,30,VALIDACION DE PROCESOS INTERNOS,2,ADMINISTARCION DE RIESGOS,VALIDACION DIARIA DE LAS NORMATIVAS PARA LAS AFORES,VALIDACION DE REPORTE CON AREA DE RIESGOS,ECONOMIA,MATEMATICAS,FINANZAS, ,X, , , ,N, ,N, ,N,X,X,X, ,S,N,0,S,X,X,X, , , , , , , , , , ,N,0,N,N,N,N,N, , , ,4,4,2,3,4,5,2,1,3,2,3,2,3,3,1,3,3,1,1,1,1,1, ,0, ,0,S,S,EXCEL, ,S,VBA,MATLAB, ,2,1,1,2,N,N,S,N,RELACIONAR MODELOS MATEMATICOS CON PROBLEMAS ACTUALES,PROGRAMACION EN VBA, , ,S,N,N,S, 
73,BANORTE,GERENTE MODELOS INTERNOS,9,11,18,20,0,BANCA,2,PLANEACION Y ANALISIS DE MODELOS,MONITOREO,CALIFICACIONES DE COBRANZA,ECONOMIA,MATEMATICAS,INGENIERIA EN SISTEMAS, , , , ,X,N, ,N, ,N, , ,X, ,S,N,0,S,X, , , , , , , , , , , , ,N,0,S,S,S,S,N, , , ,5,5,4,5,5,2,3,1,3,2,3,3,2,1,1,2,3,2,1,1,1,1, ,0, ,0,S,N, , ,N, , , ,2,1,2,2,N,S,S,S,APLICACION DE CONOCIMIENTOS A PROBLEMAS REALES, , , ,S,N,N,S, 
